name,id,author,episode_count
PURIJAGANNADH,1522708820,Purijagannadh,180
The Tim Ferriss Show,863897795,"Tim Ferriss: Bestselling Author, Human Guinea Pig",507
Sidhu Oye Sidhu,1523324463,Music Crew,10
6 Minute Grammar,1080974028,BBC Radio,42
Economist Radio,151230264,The Economist,1911
UNKUT KRITIKA,1517640300,Kritika Khurana,21
Philosophize This!,659155419,Stephen West,151
The Mindset Mentor,1033048640,Rob Dial and Kast Media,912
The Seen and the Unseen - hosted by Amit Varma,1190896090,Amit Varma,216
Saregama Carvaan Classic Retro Music,1131144827,Saregama India Ltd,170
Vedanta and Yoga,160835381,"Ramakrishna Vedanta Society, Boston",426
The Daily,1200361736,The New York Times,1158
Bangalore In Stories,1547246790,PodMacha Studios,7
9XM Song Secret,1516770387,Ep.Log Media,41
Akashavani Hindi News,1536206642,All India Radio,18
TED Talks Education,470623037,TED,112
Daily Dose,1456761991,Newslaundry.com,656
Duolingo Spanish Podcast,1317493077,Duolingo,88
Prime Time with Ravish,1442530475,NDTV,10
Detective Mathema's Maths Puzzles for Kids,1184274374,Fun Kids,5
How I Built This with Guy Raz,1150510297,NPR,324
Coaching Real Leaders,1545444200,HBR Presents / Muriel Wilkins,9
Masters of Scale with Reid Hoffman,1227971746,WaitWhat,163
Unsolved Murders: True Crime Stories,1122804248,Parcast Network,253
RED FM LOVE STORY by RJ PAHI,1289643592,Red FM,39
name,id,Artist,episode_count
Mommy Doomsday,1540849480,NBC News,7
Crime Junkie,1322200189,audiochuck,180
The Daily,1200361736,The New York Times,1158
Dateline NBC,1464919521,NBC News,334
The Ben Shapiro Show,1047335260,The Daily Wire,350
The Bible in a Year (with Fr. Mike Schmitz),1539568321,Ascension Catholic Faith Formation,72
Unsolved Mysteries,1549903604,"Cosgrove Meurer Productions, Inc. + Cadence13",4
Up First,1222114325,NPR,6
Astray,1552069504,iHeartRadio,2
Against The Odds,1553335461,Wondery,4
Human Hope with Carlos Whittaker,1249486443,That Sounds Fun Network,8
Stuff You Should Know,278981407,iHeartRadio,1668
The Ramsey Show,77001367,Ramsey Network,120
La Brega,1553089886,WNYC Studios and Futuro Studios,16
Office Ladies,1480311435,Earwolf & Jenna Fischer and Angela Kinsey,73
The Office Deep Dive with Brian Baumgartner,1550331348,iHeartRadio,6
In Plain Sight: Lady Bird Johnson,1554132477,ABC News,3
The Ezra Klein Show,1548604447,New York Times Opinion,13
Anatomy of Murder,1532894981,audiochuck,24
The Dan Le Batard Show with Stugotz,934820588,"Dan Le Batard, Stugotz",140
The Dan Bongino Show,965293227,Westwood One Podcast Network / Dan Bongino,1041
Serial,917918570,This American Life,40
This American Life,201671138,This American Life,10
Embedded,1091709555,NPR,75
Unlocking Us with Brené Brown,1494350511,Parcast Network,4
Hidden Brain,1028908750,Hidden Brain,315
This is Paris,1552058389,iHeartRadio & Paris Hilton,8
Fresh Air,214089682,NPR,50
The Opportunist,1551162705,Kast Media,5
Red Collar,1541330058,audiochuck,16
Consider This from NPR,1503226625,NPR,277
On Purpose with Jay Shetty,1450994021,Jay Shetty,215
Supernatural with Ashley Flowers,1500667648,Parcast Network,54
Sal and Chris Present: Hey Babe!,1542475843,No Presh Network,14
Planet Money,290783428,NPR,353
Serial Killers,1205030005,Parcast Network,254
The Rachel Maddow Show,294055449,"Rachel Maddow, MSNBC",13
Tom Talks,1543456877,YMH Studios,6
Cautionary Tales with Tim Harford,1484511465,Pushkin Industries,22
The NPR Politics Podcast,1057255460,NPR,977
I AM Athlete Podcast,1537836233,"Brandon Marshall, Chad Johnson, Fred Taylor, Channing Crowder",31
Unsolved Murders: True Crime Stories,1122804248,Parcast Network,253
Sway,1528594034,New York Times Opinion,53
Double Date with Marlo Thomas & Phil Donahue,1547645093,Pushkin Industries,2
Louder with Crowder,929121341,Blaze Podcast Network,270
The Daily Show With Trevor Noah: Ears Edition,1334878780,Comedy Central & iHeartRadio,951
2 Bears 1 Cave with Tom Segura & Bert Kreischer,1468013270,YMH Studios,71
The Breakfast Club,1232428553,iHeartRadio,1374
The Charlie Kirk Show,1460600818,Charlie Kirk,100
The Tim Ferriss Show,863897795,"Tim Ferriss: Bestselling Author, Human Guinea Pig",507
Nurture vs Nurture with Dr. Wendy Mogel,1549814799,Armchair Umbrella,5
Adam Carolla Show,306390087,PodcastOne / Carolla Digital,40
The Thing About Pam,1479234915,NBC News,9
Freakonomics Radio,354668519,Freakonomics Radio + Stitcher,572
How I Built This with Guy Raz,1150510297,NPR,324
True Crime Obsessed,1232009882,Obsessed Network,218
The Moth,275699983,The Moth,144
BiggerPockets Real Estate Podcast,594419649,BiggerPockets,454
The Jordan B. Peterson Podcast,1184022695,Dr. Jordan B. Peterson,159
The Way I Heard It with Mike Rowe,1087110764,Mike Rowe,190
The Simplified Podcast with Emily Ley,1553793022,Four Eyes Media,4
The Michael Knowles Show,1266577963,The Daily Wire,762
Revisionist History,1119389968,Pushkin Industries,79
Empty Inside,1524250628,Jennette McCurdy,22
The Glenn Beck Program,620967489,Blaze Podcast Network,1802
Get Sleepy: Sleep meditation and stories,1487513861,Get Sleepy,138
The Matt Walsh Show,1367210511,The Daily Wire,691
The Michelle Obama Podcast,1532956108,Higher Ground & Spotify,9
Mark Levin Podcast,209377688,Westwood One Podcast Network,903
Huberman Lab,1545953110,Dr. Andrew Huberman,10
The Candace Owens Show,1454587745,PragerU,72
TED Radio Hour,523121474,NPR,150
TED Talks Daily,160904630,TED,266
Motherhood Meets Medicine,1553782780,Lynzy Coughlin,3
Earn Your Leisure,1450211392,The Black Effect and iHeartRadio,162
I Spy,1482310665,Foreign Policy,24
American Scandal,1435516849,Wondery,120
The Bible Recap,1440833267,D-Group,847
The Pat McAfee Show 2.0,1435183458,Pat McAfee,368
Super Soul,1264843400,Oprah,317
Bridgerton: The Official Podcast,1551820452,Shondaland Audio & iHeartRadio,4
Radiolab,152249110,WNYC Studios,148
NPR News Now,121493675,NPR,1
UnF*ck Your Brain,1229434818,Kara Loewentheil,226
Ten Percent Happier with Dan Harris,1087147821,ABC News,403
The Jeff Dunham Podcast,1555769971,Jeff Dunham,1
Stuff You Missed in History Class,283605519,iHeartRadio,1609
Duolingo Spanish Podcast,1317493077,Duolingo,88
WorkLife with Adam Grant,1346314086,TED,35
Lex Fridman Podcast,1434243584,Lex Fridman,171
Sword and Scale True Crime,790487079,Incongruity,151
Coffee Convos Podcast with Kail Lowry & Lindsie Chrisley,1305546061,Kail Lowry & Lindsie Chrisley,152
Wow in the World,1233834541,NPR,327
Short Wave,1482575855,NPR,350
The Mindset Mentor,1033048640,Rob Dial and Kast Media,912
The Experiment,1549704404,The Atlantic and WNYC Studios,6
"The Doctor's Farmacy with Mark Hyman, M.D.",1382804627,Dr. Mark Hyman,318
Cold,1441595858,KSL Podcasts | Wondery,26
Even the Rich,1500477470,Wondery,54
Throughline,1451109634,NPR,114
20/20,987967575,ABC News,5
Dan Carlin's Hardcore History,173001861,Dan Carlin,11
Cults,1286818575,Parcast Network,217
The Journal.,1469394914,The Wall Street Journal & Gimlet,300
99% Invisible,394775318,Roman Mars,484
Tim Pool Daily Show,1362265400,Tim Pool,976
Nice White Parents,1524080195,Serial & The New York Times,6
The Indicator from Planet Money,1320118593,NPR,300
Global News Podcast,135067274,BBC World Service,52
Pivot,1073226719,New York Magazine,199
Lore,978052928,Aaron Mahnke and Grim & Mild,169
Allen v. Farrow Podcast,1554108046,HBO,2
Criminal,809264944,Criminal & Radiotopia,169
Joel Osteen Podcast,137254859,Joel Osteen,632
Wait Wait... Don't Tell Me!,121493804,NPR,20
WHOA That's Good Podcast,1433974017,Sadie Robertson,66
Revolutions,703889772,Mike Duncan,290
The Herd with Colin Cowherd,1042368254,iHeartRadio,2000
Made For This with Jennie Allen,1466667116,Jennie Allen,143
Unashamed with Phil & Jase Robertson,1460147025,Blaze Podcast Network,237
The School of Greatness,596047499,Lewis Howes,1080
The Investing for Beginners Podcast - Your Path to Financial Freedom,1210741497,Andrew Sather and Dave Ahern,193
Do No Harm,1537865727,Wondery | NBC News,10
WTOP’s American Nightmare Series,1461511691,WTOP | Hubbard Radio,17
Stuff They Don't Want You To Know,732915228,iHeartRadio,655
The Food That Built America,1551644089,The HISTORY Channel & OZY,6
The Happiness Lab with Dr. Laurie Santos,1474245040,Pushkin Industries,51
Marketplace,201853034,Marketplace,50
Nothing much happens; bedtime stories to help you sleep,1378040733,Curiouscast,82
Verdict with Ted Cruz,1495601614,Ted Cruz,70
REAL AF with Andy Frisella,1012570406,Andy Frisella #100to0,420
The Vanished Podcast,1081124929,Wondery,252
Mad Money w/ Jim Cramer,147247199,CNBC,786
Up and Vanished,1140596919,Tenderfoot TV,104
Motive for Murder,1510365500,NBC News,9
Serendipity With Inky Johnson,1553377190,The Resonance Network,2
Crime Stories with Nancy Grace,1193068130,Crime Online & iHeartRadio,1826
Code Switch,1112190608,NPR,274
Conspiracy Theories,1337195586,Parcast Network,202
In the Dark,1148175292,APM Reports,43
Motley Fool Money,306106212,The Motley Fool,672
CLEANING UP THE MENTAL MESS with Dr. Caroline Leaf,1334767397,Dr. Caroline Leaf,259
The Steam Room,1490924360,Turner Sports,46
Mommy Doomsday,1540849480,NBC News,7
Crime Junkie,1322200189,audiochuck,180
The Daily,1200361736,The New York Times,1158
Dateline NBC,1464919521,NBC News,334
The Ben Shapiro Show,1047335260,The Daily Wire,350
The Bible in a Year (with Fr. Mike Schmitz),1539568321,Ascension Catholic Faith Formation,72
Unsolved Mysteries,1549903604,"Cosgrove Meurer Productions, Inc. + Cadence13",4
Up First,1222114325,NPR,6
Astray,1552069504,iHeartRadio,2
Against The Odds,1553335461,Wondery,4
Human Hope with Carlos Whittaker,1249486443,That Sounds Fun Network,8
Stuff You Should Know,278981407,iHeartRadio,1668
The Ramsey Show,77001367,Ramsey Network,120
La Brega,1553089886,WNYC Studios and Futuro Studios,16
Office Ladies,1480311435,Earwolf & Jenna Fischer and Angela Kinsey,73
The Office Deep Dive with Brian Baumgartner,1550331348,iHeartRadio,6
In Plain Sight: Lady Bird Johnson,1554132477,ABC News,3
The Ezra Klein Show,1548604447,New York Times Opinion,13
Anatomy of Murder,1532894981,audiochuck,24
The Dan Le Batard Show with Stugotz,934820588,"Dan Le Batard, Stugotz",140
The Dan Bongino Show,965293227,Westwood One Podcast Network / Dan Bongino,1041
Serial,917918570,This American Life,40
This American Life,201671138,This American Life,10
Embedded,1091709555,NPR,75
Unlocking Us with Brené Brown,1494350511,Parcast Network,4
Hidden Brain,1028908750,Hidden Brain,315
This is Paris,1552058389,iHeartRadio & Paris Hilton,8
Fresh Air,214089682,NPR,50
The Opportunist,1551162705,Kast Media,5
Red Collar,1541330058,audiochuck,16
Consider This from NPR,1503226625,NPR,277
On Purpose with Jay Shetty,1450994021,Jay Shetty,215
Supernatural with Ashley Flowers,1500667648,Parcast Network,54
Sal and Chris Present: Hey Babe!,1542475843,No Presh Network,14
Planet Money,290783428,NPR,353
Serial Killers,1205030005,Parcast Network,254
The Rachel Maddow Show,294055449,"Rachel Maddow, MSNBC",13
Tom Talks,1543456877,YMH Studios,6
Cautionary Tales with Tim Harford,1484511465,Pushkin Industries,22
The NPR Politics Podcast,1057255460,NPR,977
I AM Athlete Podcast,1537836233,"Brandon Marshall, Chad Johnson, Fred Taylor, Channing Crowder",31
Unsolved Murders: True Crime Stories,1122804248,Parcast Network,253
Sway,1528594034,New York Times Opinion,53
Double Date with Marlo Thomas & Phil Donahue,1547645093,Pushkin Industries,2
Louder with Crowder,929121341,Blaze Podcast Network,270
The Daily Show With Trevor Noah: Ears Edition,1334878780,Comedy Central & iHeartRadio,951
2 Bears 1 Cave with Tom Segura & Bert Kreischer,1468013270,YMH Studios,71
The Breakfast Club,1232428553,iHeartRadio,1374
The Charlie Kirk Show,1460600818,Charlie Kirk,100
The Tim Ferriss Show,863897795,"Tim Ferriss: Bestselling Author, Human Guinea Pig",507
Nurture vs Nurture with Dr. Wendy Mogel,1549814799,Armchair Umbrella,5
Adam Carolla Show,306390087,PodcastOne / Carolla Digital,40
The Thing About Pam,1479234915,NBC News,9
Freakonomics Radio,354668519,Freakonomics Radio + Stitcher,572
How I Built This with Guy Raz,1150510297,NPR,324
True Crime Obsessed,1232009882,Obsessed Network,218
The Moth,275699983,The Moth,144
BiggerPockets Real Estate Podcast,594419649,BiggerPockets,454
The Jordan B. Peterson Podcast,1184022695,Dr. Jordan B. Peterson,159
The Way I Heard It with Mike Rowe,1087110764,Mike Rowe,190
The Simplified Podcast with Emily Ley,1553793022,Four Eyes Media,4
The Michael Knowles Show,1266577963,The Daily Wire,762
Revisionist History,1119389968,Pushkin Industries,79
Empty Inside,1524250628,Jennette McCurdy,22
The Glenn Beck Program,620967489,Blaze Podcast Network,1802
Get Sleepy: Sleep meditation and stories,1487513861,Get Sleepy,138
The Matt Walsh Show,1367210511,The Daily Wire,691
The Michelle Obama Podcast,1532956108,Higher Ground & Spotify,9
Mark Levin Podcast,209377688,Westwood One Podcast Network,903
Huberman Lab,1545953110,Dr. Andrew Huberman,10
The Candace Owens Show,1454587745,PragerU,72
TED Radio Hour,523121474,NPR,150
TED Talks Daily,160904630,TED,266
Motherhood Meets Medicine,1553782780,Lynzy Coughlin,3
Earn Your Leisure,1450211392,The Black Effect and iHeartRadio,162
I Spy,1482310665,Foreign Policy,24
American Scandal,1435516849,Wondery,120
The Bible Recap,1440833267,D-Group,847
The Pat McAfee Show 2.0,1435183458,Pat McAfee,368
Super Soul,1264843400,Oprah,317
Bridgerton: The Official Podcast,1551820452,Shondaland Audio & iHeartRadio,4
Radiolab,152249110,WNYC Studios,148
NPR News Now,121493675,NPR,1
UnF*ck Your Brain,1229434818,Kara Loewentheil,226
Ten Percent Happier with Dan Harris,1087147821,ABC News,403
The Jeff Dunham Podcast,1555769971,Jeff Dunham,1
Stuff You Missed in History Class,283605519,iHeartRadio,1609
Duolingo Spanish Podcast,1317493077,Duolingo,88
WorkLife with Adam Grant,1346314086,TED,35
Lex Fridman Podcast,1434243584,Lex Fridman,171
Sword and Scale True Crime,790487079,Incongruity,151
Coffee Convos Podcast with Kail Lowry & Lindsie Chrisley,1305546061,Kail Lowry & Lindsie Chrisley,152
Wow in the World,1233834541,NPR,327
Short Wave,1482575855,NPR,350
The Mindset Mentor,1033048640,Rob Dial and Kast Media,912
The Experiment,1549704404,The Atlantic and WNYC Studios,6
"The Doctor's Farmacy with Mark Hyman, M.D.",1382804627,Dr. Mark Hyman,318
Cold,1441595858,KSL Podcasts | Wondery,26
Even the Rich,1500477470,Wondery,54
Throughline,1451109634,NPR,114
20/20,987967575,ABC News,5
Dan Carlin's Hardcore History,173001861,Dan Carlin,11
Cults,1286818575,Parcast Network,217
The Journal.,1469394914,The Wall Street Journal & Gimlet,300
99% Invisible,394775318,Roman Mars,484
Tim Pool Daily Show,1362265400,Tim Pool,976
Nice White Parents,1524080195,Serial & The New York Times,6
The Indicator from Planet Money,1320118593,NPR,300
Bannon's War Room,1485351658,WarRoom.org,200
Global News Podcast,135067274,BBC World Service,52
Pivot,1073226719,New York Magazine,199
Lore,978052928,Aaron Mahnke and Grim & Mild,169
Allen v. Farrow Podcast,1554108046,HBO,2
Criminal,809264944,Criminal & Radiotopia,169
Joel Osteen Podcast,137254859,Joel Osteen,632
Wait Wait... Don't Tell Me!,121493804,NPR,20
WHOA That's Good Podcast,1433974017,Sadie Robertson,66
Revolutions,703889772,Mike Duncan,290
The Herd with Colin Cowherd,1042368254,iHeartRadio,2000
Made For This with Jennie Allen,1466667116,Jennie Allen,143
Unashamed with Phil & Jase Robertson,1460147025,Blaze Podcast Network,237
The School of Greatness,596047499,Lewis Howes,1080
The Investing for Beginners Podcast - Your Path to Financial Freedom,1210741497,Andrew Sather and Dave Ahern,193
Do No Harm,1537865727,Wondery | NBC News,10
WTOP’s American Nightmare Series,1461511691,WTOP | Hubbard Radio,17
Stuff They Don't Want You To Know,732915228,iHeartRadio,655
The Food That Built America,1551644089,The HISTORY Channel & OZY,6
The Happiness Lab with Dr. Laurie Santos,1474245040,Pushkin Industries,51
Marketplace,201853034,Marketplace,50
Nothing much happens; bedtime stories to help you sleep,1378040733,Curiouscast,82
Verdict with Ted Cruz,1495601614,Ted Cruz,70
REAL AF with Andy Frisella,1012570406,Andy Frisella #100to0,420
The Vanished Podcast,1081124929,Wondery,252
Mad Money w/ Jim Cramer,147247199,CNBC,786
Up and Vanished,1140596919,Tenderfoot TV,104
Motive for Murder,1510365500,NBC News,9
Serendipity With Inky Johnson,1553377190,The Resonance Network,2
Crime Stories with Nancy Grace,1193068130,Crime Online & iHeartRadio,1826
Code Switch,1112190608,NPR,274
Conspiracy Theories,1337195586,Parcast Network,202
In the Dark,1148175292,APM Reports,43
Motley Fool Money,306106212,The Motley Fool,672
CLEANING UP THE MENTAL MESS with Dr. Caroline Leaf,1334767397,Dr. Caroline Leaf,259
The Steam Room,1490924360,Turner Sports,46
